filename,transcript,words,duration,Affected word
93.wav,She won't help,She|won't|help,1.945,placeholder
166.wav,I went to London on Monday,I|went|to|London|on|Monday,1.926,placeholder
197.wav,You're coming to tea with us aren't you?,You're|coming|to|tea|with|us|aren't|you?,1.926,placeholder
69.wav,I was only trying to help,I|was|only|trying|to|help,1.907,placeholder
142.wav,I wouldn't mind seeing it again,I|wouldn't|mind|seeing|it|again,1.907,placeholder
34.wav,They were in a terrible mess,They|were|in|a|terrible|mess,1.889,placeholder
167.wav,You can keep it if you really want it,You|can|keep|it|if|you|really|want|it,1.889,placeholder
54.wav,Can you be here by five?,Can|you|be|here|by|five?,1.87,placeholder
151.wav,Whenever he comes to visit us,Whenever|he|comes|to|visit|us,1.87,placeholder
159.wav,It wasn't a very nice thing to do,It|wasn't|a|very|nice|thing|to|do,1.87,placeholder
165.wav,You mustn't shake it too much,You|mustn't|shake|it|too|much,1.851,placeholder
10.wav,I was very glad,I|was|very|glad,1.833,placeholder
114.wav,Please,Please,1.833,placeholder
147.wav,You can't possibly do that,You|can't|possibly|do|that,1.833,placeholder
193.wav,It's cold today isn't it?,It's|cold|today|isn't|it?,1.833,placeholder
2b.wav,He seems very nice,He|seems|very|nice,1.8,placeholder
61.wav,I was only trying to help,I|was|only|trying|to|help,1.795,placeholder
157.wav,I could take you there tomorrow,I|could|take|you|there|tomorrow,1.795,placeholder
169.wav,I'm very comfortable thank you,I'm|very|comfortable|thank|you,1.776,placeholder
195.wav,You won't worry will you?,You|won't|worry|will|you?,1.776,placeholder
29.wav,Fifty pounds,Fifty|pounds,1.758,placeholder
60.wav,Can anyone tell me the time?,Can|anyone|tell|me|the|time?,1.758,placeholder
78.wav,No ones stopping you,No|ones|stopping|you,1.758,placeholder
91.wav,She was quite kind,She|was|quite|kind,1.758,placeholder
136.wav,Try not to break that,Try|not|to|break|that,1.758,placeholder
2a.wav,He seems very nice,He|seems|very|nice,1.739,placeholder
44.wav,Have you posted it to him?,Have|you|posted|it|to|him?,1.72,placeholder
48.wav,Forty of them were there,Forty|of|them|were|there,1.72,placeholder
62.wav,You can see it again tomorrow,You|can|see|it|again|tomorrow,1.72,placeholder
90.wav,That wasn't very friendly,That|wasn't|very|friendly,1.72,placeholder
